,tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
2073,670807719151067136,1190,520,6831419,103,Twitter for iPhone,Original tweet,https://t.co/idzH8JH06g
2074,670804601705242624,2044,1004,6831419,103,Twitter for iPhone,Original tweet,https://t.co/DM3ZP3AA7b
2075,670803562457407488,351,93,6831419,103,Twitter for iPhone,Original tweet,https://t.co/9ZuGAmLZDR
2076,670797304698376195,756,248,6831419,103,Twitter for iPhone,Original tweet,https://t.co/yqohZK4CL0
2077,670792680469889025,867,293,6831420,103,Twitter for iPhone,Original tweet,https://t.co/gTy4WMXu8l
2078,670789397210615808,690,254,6831420,103,Twitter for iPhone,Original tweet,https://t.co/RGcNPsmAfY
2079,670786190031921152,627,213,6831420,103,Twitter for iPhone,Original tweet,https://t.co/3r7wznfuoa
2080,670783437142401025,850,419,6831420,103,Twitter for iPhone,Original tweet,https://t.co/jxukeh2BeO
2081,670782429121134593,1641,831,6831420,103,Twitter for iPhone,Original tweet,https://t.co/6dioUL6gcP
2082,670780561024270336,807,304,6831420,103,Twitter for iPhone,Original tweet,https://t.co/Viu56hVhhP
2083,670778058496974848,340,76,6831420,103,Twitter for iPhone,Original tweet,https://t.co/4g5kFdxp6g
2084,670764103623966721,1114,451,6831420,103,Twitter for iPhone,Original tweet,https://t.co/ZfS7chSsi7
2085,670755717859713024,465,120,6831420,103,Twitter for iPhone,Original tweet,https://t.co/F6bI9dF16E
2086,670733412878163972,997,537,6831420,103,Twitter for iPhone,Original tweet,https://t.co/NsDIt8Z80Z
2087,670727704916926465,866,390,6831420,103,Twitter for iPhone,Original tweet,https://t.co/SWnrQAFOtt
2088,670717338665226240,1267,526,6831420,103,Twitter for iPhone,Original tweet,https://t.co/W2MCt9pTed
2089,670704688707301377,790,391,6831420,103,Twitter for iPhone,Original tweet,https://t.co/I1lMUy1FqH
2090,670691627984359425,610,256,6831420,103,Twitter for iPhone,Original tweet,https://t.co/eCVj2xT59V
2091,670679630144274432,779,307,6831420,103,Twitter for iPhone,Original tweet,https://t.co/HMcD9SLOAN
2092,670676092097810432,261,45,6831420,103,Twitter for iPhone,Original tweet,https://t.co/IAc1QCczMc
2093,670668383499735048,11162,5348,6831420,103,Twitter for iPhone,Original tweet,https://t.co/NECxEHN5YU
2094,670474236058800128,1586,809,6831211,103,Twitter for iPhone,Original tweet,https://t.co/7JMAHdJ6A4
2095,670468609693655041,364,89,6831420,103,Twitter for iPhone,Original tweet,https://t.co/dupWSIpSrG
2096,670465786746662913,1010,587,6831420,103,Twitter for iPhone,Original tweet,https://t.co/2BnCLtJMxD
2097,670452855871037440,570,220,6831420,103,Twitter for iPhone,Original tweet,https://t.co/35BcGFdEAK
2098,670449342516494336,1235,710,6831421,103,Twitter for iPhone,Original tweet,https://t.co/cixC0M3P1e
2099,670444955656130560,6973,2091,6831421,103,Twitter for iPhone,Original tweet,https://t.co/J5Mqn8VeYq
2100,670442337873600512,677,206,6831421,103,Twitter for iPhone,Original tweet,https://t.co/mzPoS9wCqp
2101,670435821946826752,1093,555,6831421,103,Twitter for iPhone,Original tweet,https://t.co/sQuKwSKtDE
2102,670434127938719744,1461,688,6831421,103,Twitter for iPhone,Original tweet,https://t.co/cwoP1ftbrj
2103,670433248821026816,335,121,6831421,103,Twitter for iPhone,Original tweet,https://t.co/PXnCdz8qzK
2104,670428280563085312,1446,674,6831421,103,Twitter for iPhone,Original tweet,https://t.co/Fm1SvVLsad
2105,670427002554466305,537,174,6831421,103,Twitter for iPhone,Original tweet,https://t.co/CtuJoLHiDo
2106,670421925039075328,1363,681,6831421,103,Twitter for iPhone,Original tweet,https://t.co/tLRyYvCci3
2107,670420569653809152,655,332,6831421,103,Twitter for iPhone,Original tweet,https://t.co/Z5nqlfjYJi
2108,670417414769758208,588,341,6831421,103,Twitter for iPhone,Original tweet,https://t.co/Dfv2YaHPMn
2109,670411370698022913,2125,958,6831421,103,Twitter for iPhone,Original tweet,https://t.co/1DJfHmfBQN
2110,670408998013820928,580,237,6831421,103,Twitter for iPhone,Original tweet,https://t.co/LXVEHo9JMY
2111,670403879788544000,450,168,6831421,103,Twitter for iPhone,Original tweet,https://t.co/vSd1TWFK1I
2112,670385711116361728,582,227,6831421,103,Twitter for iPhone,Original tweet,https://t.co/MAZx8MPF0S
2113,670374371102445568,767,286,6831421,103,Twitter for iPhone,Original tweet,https://t.co/8yzgYzP94K
2114,670361874861563904,340,71,6831421,103,Twitter for iPhone,Original tweet,https://t.co/98ZBi6o4dj
2115,670338931251150849,442,118,6831421,103,Twitter for iPhone,Original tweet,https://t.co/iTc578yDmY
2116,670319130621435904,4010,1308,6831421,103,Twitter for iPhone,Original tweet,https://t.co/QnfO7HEQGA
2117,670303360680108032,442,143,6831421,103,Twitter for iPhone,Original tweet,https://t.co/yV3Qgjh8iN
2118,670290420111441920,737,300,6831421,103,Twitter for iPhone,Original tweet,https://t.co/orbkAq9kYF
2119,670093938074779648,1077,358,6831421,103,Twitter for iPhone,Original tweet,https://t.co/vYs9IVzHY9
2120,670086499208155136,724,267,6831421,103,Twitter for iPhone,Original tweet,https://t.co/DuQXATW27f
2121,670079681849372674,2320,1335,6831421,103,Twitter for iPhone,Original tweet,https://t.co/Qvj4JZGdQD
2122,670073503555706880,1626,838,6831421,103,Twitter for iPhone,Original tweet,https://t.co/exGrzT9O88
2123,670069087419133954,660,262,6831421,103,Twitter for iPhone,Original tweet,https://t.co/pzrvc7wKGd
2124,670061506722140161,795,367,6831421,103,Twitter for iPhone,Original tweet,https://t.co/uQMFKv1vjn
2125,670055038660800512,695,350,6831421,103,Twitter for iPhone,Original tweet,https://t.co/0gY6XTOpn3
2126,670046952931721218,674,187,6831421,103,Twitter for iPhone,Original tweet,https://t.co/465sIBdvzU
2127,670040295598354432,782,117,6831421,103,Twitter for iPhone,Original tweet,https://t.co/5iYF0Ci0EK
2128,670037189829525505,611,296,6831421,103,Twitter for iPhone,Original tweet,https://t.co/rOTOteKx4q
2129,670003130994700288,345,98,6831421,103,Twitter for iPhone,Original tweet,https://t.co/3NTykJmtHt
2130,669993076832759809,336,89,6831421,103,Twitter for iPhone,Original tweet,https://t.co/kR1fqy4NKK
2131,669972011175813120,461,171,6831421,103,Twitter for iPhone,Original tweet,https://t.co/A6XnvxHiUQ
2132,669970042633789440,313,64,6831421,103,Twitter for iPhone,Original tweet,https://t.co/aeURGO9Qs8
2133,669942763794931712,528,179,6831421,103,Twitter for iPhone,Original tweet,https://t.co/1VJoY3OJ1F
2134,669926384437997569,394,111,6831421,103,Twitter for iPhone,Original tweet,https://t.co/9RYY2NtHDw
2135,669923323644657664,245,61,6831421,103,Twitter for iPhone,Original tweet,https://t.co/6GUGO7azNX
2136,669753178989142016,840,425,6831421,103,Twitter for iPhone,Original tweet,https://t.co/63jh1tYZa5
2137,669749430875258880,283,68,6831421,103,Twitter for iPhone,Original tweet,https://t.co/tbFaTUHLJB
2138,669684865554620416,542,94,6831421,103,Twitter for iPhone,Original tweet,0
2139,669683899023405056,408,116,6831421,103,Twitter for iPhone,Original tweet,https://t.co/NvKJRYDosA
2140,669682095984410625,368,141,6831421,103,Twitter for iPhone,Original tweet,https://t.co/RAwZvMKRZB
2141,669680153564442624,697,304,6831421,103,Twitter for iPhone,Original tweet,https://t.co/IQFZKNUlXx
2142,669661792646373376,838,463,6831422,103,Twitter for iPhone,Original tweet,https://t.co/ODnILTr4QM
2143,669625907762618368,3680,1912,6831422,103,Twitter for iPhone,Original tweet,https://t.co/eqeWw67oU7
2144,669603084620980224,985,392,6831422,103,Twitter for iPhone,Original tweet,https://t.co/MSIbWu4YYs
2145,669597912108789760,533,160,6831422,103,Twitter for iPhone,Original tweet,https://t.co/XmCvma01fF
2146,669583744538451968,1547,988,6831422,103,Twitter for iPhone,Original tweet,https://t.co/f8GXeDbFzu
2147,669573570759163904,450,153,6831422,103,Twitter for iPhone,Original tweet,https://t.co/UpFFYhA1Id
2148,669571471778410496,1648,1061,6831422,103,Twitter for iPhone,Original tweet,https://t.co/fa7olwrF9Y
2149,669567591774625800,243,60,6831422,103,Twitter for iPhone,Original tweet,https://t.co/XPLB3eoXiX
2150,669564461267722241,402,130,6831422,103,Twitter for iPhone,Original tweet,https://t.co/eCRdwouKCl
2151,669393256313184256,378,81,6831422,103,Twitter for iPhone,Original tweet,https://t.co/juktj5qiaD
2152,669375718304980992,1390,764,6831422,103,Twitter for iPhone,Original tweet,https://t.co/ero0XfdGtY
2153,669371483794317312,515,190,6831422,103,Twitter for iPhone,Original tweet,https://t.co/fj4c170cxk
2154,669367896104181761,477,166,6831422,103,Twitter for iPhone,Original tweet,https://t.co/yoB0SM1AAP
2155,669363888236994561,651,242,6831422,103,Twitter for iPhone,Original tweet,https://t.co/jPkd7hhX7m
2156,669359674819481600,381,131,6831422,103,Twitter for iPhone,Original tweet,https://t.co/Eh2v0AyJbi
2157,669354382627049472,2814,1344,6831422,103,Twitter for iPhone,Original tweet,https://t.co/JtA1TG21Xx
2158,669353438988365824,670,269,6831422,103,Twitter for iPhone,Original tweet,https://t.co/qDS1aCqppv
2159,669351434509529089,461,198,6831422,103,Twitter for iPhone,Original tweet,https://t.co/zKNF77dxEA
2160,669328503091937280,1050,440,6831422,103,Twitter for iPhone,Original tweet,https://t.co/0twoigv5jP
2161,669327207240699904,599,121,6831422,103,Twitter for iPhone,Original tweet,https://t.co/6WGFp9cuj6
2162,669324657376567296,513,217,6831422,103,Twitter for iPhone,Original tweet,https://t.co/R5Z6jBTdhc
2163,669216679721873412,938,407,6831422,103,Twitter for iPhone,Original tweet,https://t.co/d8ybynaRwZ
2164,669214165781868544,460,178,6831422,103,Twitter for iPhone,Original tweet,https://t.co/cieaOI0RuT
2165,669203728096960512,1045,503,6831422,103,Twitter for iPhone,Original tweet,https://t.co/HPoce45SI3
2166,669037058363662336,683,328,6831422,103,Twitter for iPhone,Original tweet,https://t.co/Lh1BsJrWPp
2167,669015743032369152,768,392,6831422,103,Twitter for iPhone,Original tweet,https://t.co/Jykq2iq3qN
2168,669006782128353280,597,264,6831422,103,Twitter for iPhone,Original tweet,https://t.co/k0ddVUWTcu
2169,669000397445533696,21683,6734,6831422,103,Twitter for iPhone,Original tweet,https://t.co/ixcuUYCbdD
2170,668994913074286592,458,248,6831422,103,Twitter for iPhone,Original tweet,https://t.co/w5oYFXi0uh
2171,668992363537309700,779,369,6831422,103,Twitter for iPhone,Original tweet,https://t.co/tiVuq6MNwl
2172,668989615043424256,710,345,6831422,103,Twitter for iPhone,Original tweet,https://t.co/1zBp1moFlX
2173,668988183816871936,935,500,6831422,103,Twitter for iPhone,Original tweet,https://t.co/bMhs18elNF
2174,668986018524233728,574,177,6831422,103,Twitter for iPhone,Original tweet,https://t.co/j0Wpa42KCH
2175,668981893510119424,563,326,6831422,103,Twitter for iPhone,Original tweet,https://t.co/0EJXxE9UxW
2176,668979806671884288,826,373,6831422,103,Twitter for iPhone,Original tweet,https://t.co/uxdOfblUB0
2177,668975677807423489,1364,619,6831422,103,Twitter for iPhone,Original tweet,https://t.co/LqAMlFVBoY
2178,668967877119254528,154,25,6831422,103,Twitter for iPhone,Original tweet,5
2179,668960084974809088,736,251,6831422,103,Twitter for iPhone,Original tweet,https://t.co/952hUV6RiK
2180,668955713004314625,295,74,6831422,103,Twitter for iPhone,Original tweet,https://t.co/Dmy2mY2Qj5
2181,668932921458302977,281,61,6831422,103,Twitter for iPhone,Original tweet,https://t.co/rcrKkL7eB6
2182,668902994700836864,330,106,6831422,103,Twitter for iPhone,Original tweet,https://t.co/UqCvpSgMJe
2183,668892474547511297,412,161,6831422,103,Twitter for iPhone,Original tweet,https://t.co/HyDpTU5Jhj
2184,668872652652679168,548,313,6831422,103,Twitter for iPhone,Original tweet,https://t.co/up0MHRxelf
